dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
52136.0924943956,51623.4334843865,51706.1149148081,51670.3098605892
52136.092552114,51620.8182618812,51706.0466787776,51680.549087425
52136.0924905307,51638.6281577824,51706.1326855392,51668.9531098775
52136.0924995514,51624.720755506,51706.1460535005,51666.957231716
52136.0925402446,51625.2298749383,51706.0716290788,51669.7616412379
52136.0925092198,51623.8296551953,51706.1238582183,51675.2438863446
52136.0924906597,51624.8553201757,51706.1093895807,51674.8070920451
52136.0925543997,51618.973037957,51706.0802795083,51679.83898078
52136.0925049244,51619.4188145375,51706.1499940544,51676.2046521999
52136.092501197,51621.9048163169,51706.1138944313,51670.8195869741
