dPrime*,single-ssnu*,single-sg*,sim*
26066.0462471978,25747.7167421932,25789.0574574041,25705.1549302946
26066.046276057,25746.4091309406,25789.0233393888,25710.2745437125
26066.0462452653,25755.3140788912,25789.0663427696,25704.4765549388
26066.0462497757,25748.360377753,25789.0730267502,25703.478615858
26066.0462701223,25748.6149374691,25789.0358145394,25704.8808206189
60235.4040030037,59619.6584535838,59871.5643426076,59964.1783322234
60235.4040325318,59617.7398309962,59871.6011018808,59950.6420106286
60235.4048293982,59617.4900777634,59871.3410632958,59975.1327465974
60235.4040200521,59615.8602296755,59871.5362035041,59955.1309999085
60235.4040130137,59618.4379441463,59871.5473641664,59978.9856408045
